HourOfYear,Date,StartTime,dhw,hdd,heating,predicted
1,01-Jan,00:00,0.0,0,0.0,0.0
2,01-Jan,01:00,0.0,0,0.0,0.0
3,01-Jan,02:00,0.0,0,0.0,0.0
4,01-Jan,03:00,0.0,0,0.0,0.0
5,01-Jan,04:00,0.0,0,0.0,0.0
6,01-Jan,05:00,0.0,0,0.0,0.0
7,01-Jan,06:00,0.0,0,0.0,0.0
8,01-Jan,07:00,11.0,0,0.0,11.0
9,01-Jan,08:00,6.0,0,0.0,6.0
10,01-Jan,09:00,16.0,0,0.0,16.0
11,01-Jan,10:00,19.0,0,0.0,19.0
12,01-Jan,11:00,26.0,0,0.0,26.0
13,01-Jan,12:00,22.0,0,0.0,22.0
14,01-Jan,13:00,21.0,0,0.0,21.0
15,01-Jan,14:00,14.0,0,0.0,14.0
16,01-Jan,15:00,13.0,0,0.0,13.0
17,01-Jan,16:00,9.0,0,0.0,9.0
18,01-Jan,17:00,7.0,0,0.0,7.0
19,01-Jan,18:00,0.0,0,0.0,0.0
20,01-Jan,19:00,0.0,0,0.0,0.0
21,01-Jan,20:00,0.0,0,0.0,0.0
22,01-Jan,21:00,0.0,0,0.0,0.0
23,01-Jan,22:00,0.0,0,0.0,0.0
24,01-Jan,23:00,0.0,0,0.0,0.0
25,02-Jan,00:00,0.0,0,0.0,0.0
26,02-Jan,01:00,0.0,0,0.0,0.0
27,02-Jan,02:00,0.0,0,0.0,0.0
28,02-Jan,03:00,0.0,0,0.0,0.0
29,02-Jan,04:00,0.0,0,0.0,0.0
30,02-Jan,05:00,0.0,0,0.0,0.0
31,02-Jan,06:00,0.0,0,0.0,0.0
32,02-Jan,07:00,7.0,0,0.0,7.0
33,02-Jan,08:00,15.0,0,0.0,15.0
34,02-Jan,09:00,21.0,0,0.0,21.0
35,02-Jan,10:00,29.0,0,0.0,29.0
36,02-Jan,11:00,32.0,0,0.0,32.0
37,02-Jan,12:00,24.0,0,0.0,24.0
38,02-Jan,13:00,21.0,0,0.0,21.0
39,02-Jan,14:00,31.0,0,0.0,31.0
40,02-Jan,15:00,25.0,0,0.0,25.0
41,02-Jan,16:00,17.0,0,0.0,17.0
42,02-Jan,17:00,8.0,0,0.0,8.0
43,02-Jan,18:00,0.0,0,0.0,0.0
44,02-Jan,19:00,0.0,0,0.0,0.0
45,02-Jan,20:00,0.0,0,0.0,0.0
46,02-Jan,21:00,0.0,0,0.0,0.0
47,02-Jan,22:00,0.0,0,0.0,0.0
48,02-Jan,23:00,0.0,0,0.0,0.0
49,03-Jan,00:00,0.0,0,0.0,0.0
50,03-Jan,01:00,0.0,0,0.0,0.0
51,03-Jan,02:00,0.0,0,0.0,0.0
52,03-Jan,03:00,0.0,0,0.0,0.0
53,03-Jan,04:00,0.0,0,0.0,0.0
54,03-Jan,05:00,0.0,0,0.0,0.0
55,03-Jan,06:00,0.0,0,0.0,0.0
56,03-Jan,07:00,10.0,0,0.0,10.0
57,03-Jan,08:00,24.0,0,0.0,24.0
58,03-Jan,09:00,36.0,0,0.0,36.0
59,03-Jan,10:00,49.0,0,0.0,49.0
60,03-Jan,11:00,52.0,0,0.0,52.0
61,03-Jan,12:00,38.0,0,0.0,38.0
62,03-Jan,13:00,37.0,0,0.0,37.0
63,03-Jan,14:00,39.0,0,0.0,39.0
64,03-Jan,15:00,35.0,0,0.0,35.0
65,03-Jan,16:00,24.0,0,0.0,24.0
66,03-Jan,17:00,12.0,0,0.0,12.0
67,03-Jan,18:00,0.0,0,0.0,0.0
68,03-Jan,19:00,0.0,0,0.0,0.0
69,03-Jan,20:00,0.0,0,0.0,0.0
70,03-Jan,21:00,0.0,0,0.0,0.0
71,03-Jan,22:00,0.0,0,0.0,0.0
72,03-Jan,23:00,0.0,0,0.0,0.0
73,04-Jan,00:00,0.0,0,0.0,0.0
74,04-Jan,01:00,0.0,0,0.0,0.0
75,04-Jan,02:00,0.0,0,0.0,0.0
76,04-Jan,03:00,0.0,0,0.0,0.0
77,04-Jan,04:00,0.0,0,0.0,0.0
78,04-Jan,05:00,0.0,0,0.0,0.0
79,04-Jan,06:00,0.0,0,0.0,0.0
80,04-Jan,07:00,10.0,0,0.0,10.0
81,04-Jan,08:00,34.0,0,0.0,34.0
82,04-Jan,09:00,38.0,0,0.0,38.0
83,04-Jan,10:00,38.0,0,0.0,38.0
84,04-Jan,11:00,50.0,0,0.0,50.0
85,04-Jan,12:00,50.0,0,0.0,50.0
86,04-Jan,13:00,47.0,0,0.0,47.0
87,04-Jan,14:00,48.0,0,0.0,48.0
88,04-Jan,15:00,40.0,0,0.0,40.0
89,04-Jan,16:00,27.0,0,0.0,27.0
90,04-Jan,17:00,7.0,0,0.0,7.0
91,04-Jan,18:00,0.0,0,0.0,0.0
92,04-Jan,19:00,0.0,0,0.0,0.0
93,04-Jan,20:00,0.0,0,0.0,0.0
94,04-Jan,21:00,0.0,0,0.0,0.0
95,04-Jan,22:00,0.0,0,0.0,0.0
96,04-Jan,23:00,0.0,0,0.0,0.0
97,05-Jan,00:00,0.0,0,0.0,0.0
98,05-Jan,01:00,0.0,0,0.0,0.0
99,05-Jan,02:00,0.0,0,0.0,0.0
100,05-Jan,03:00,0.0,0,0.0,0.0
101,05-Jan,04:00,0.0,0,0.0,0.0
102,05-Jan,05:00,0.0,0,0.0,0.0
103,05-Jan,06:00,0.0,0,0.0,0.0
104,05-Jan,07:00,17.0,0,0.0,17.0
105,05-Jan,08:00,29.0,0,0.0,29.0
106,05-Jan,09:00,24.0,0,0.0,24.0
107,05-Jan,10:00,48.0,0,0.0,48.0
108,05-Jan,11:00,46.0,0,0.0,46.0
109,05-Jan,12:00,50.0,0,0.0,50.0
110,05-Jan,13:00,37.0,0,0.0,37.0
111,05-Jan,14:00,42.0,0,0.0,42.0
112,05-Jan,15:00,40.0,0,0.0,40.0
113,05-Jan,16:00,33.0,0,0.0,33.0
114,05-Jan,17:00,17.0,0,0.0,17.0
115,05-Jan,18:00,0.0,0,0.0,0.0
116,05-Jan,19:00,0.0,0,0.0,0.0
117,05-Jan,20:00,0.0,0,0.0,0.0
118,05-Jan,21:00,0.0,0,0.0,0.0
119,05-Jan,22:00,0.0,0,0.0,0.0
120,05-Jan,23:00,0.0,0,0.0,0.0
121,06-Jan,00:00,0.0,0,0.0,0.0
122,06-Jan,01:00,0.0,0,0.0,0.0
123,06-Jan,02:00,0.0,0,0.0,0.0
124,06-Jan,03:00,0.0,0,0.0,0.0
125,06-Jan,04:00,0.0,0,0.0,0.0
126,06-Jan,05:00,0.0,0,0.0,0.0
127,06-Jan,06:00,0.0,0,0.0,0.0
128,06-Jan,07:00,7.0,0,0.0,7.0
129,06-Jan,08:00,26.0,0,0.0,26.0
130,06-Jan,09:00,28.0,0,0.0,28.0
131,06-Jan,10:00,30.0,0,0.0,30.0
132,06-Jan,11:00,36.0,0,0.0,36.0
133,06-Jan,12:00,38.0,0,0.0,38.0
134,06-Jan,13:00,35.0,0,0.0,35.0
135,06-Jan,14:00,31.0,0,0.0,31.0
136,06-Jan,15:00,23.0,0,0.0,23.0
137,06-Jan,16:00,13.0,0,0.0,13.0
138,06-Jan,17:00,15.0,0,0.0,15.0
